Stock URL,Stock Name,Stock Index,Isin Code,Market/Segment,Sector,Ftse Indices
https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/FR0000120578.html?lang=en,Sanofi,SANF,FR0000120578,GLOBAL EQUITY MARKET,,
https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/DE0007164600.html?lang=en,Sap,SAP,DE0007164600,GLOBAL EQUITY MARKET,,
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0000433307.html?lang=en,Saras,SRS,IT0000433307,MTA,Oil & Gas,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia Mid Cap, FTSE Italia All-Share Oil and Gas, FTSE Italia All-Share Oil and Gas"
https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/FR0000121972.html?lang=en,Schneider Electric,SU,FR0000121972,GLOBAL EQUITY MARKET,,
https://www.borsaitaliana.it/borsa/azioni/aim-italia/scheda/IT0005340051.html?lang=en,Sciuker Frames,SCK,IT0005340051,AIM ITALIA,,FTSE AIM Italia
https://www.borsaitaliana.it/borsa/azioni/aim-italia/scheda/IT0005413510.html?lang=en,Sebino,SEB,IT0005413510,AIM ITALIA,,FTSE AIM Italia
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005283640.html?lang=en,Seri Industrial,SERI,IT0005283640,MTA,Industrial Goods & Services,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia Small Cap, FTSE Italia All-Share Industrials, FTSE Italia All-Share Industrial Goods and Services"
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0003814537.html?lang=en,Servizi Italia,SRI,IT0003814537,STAR,Industrial Goods & Services,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia STAR, FTSE Italia Small Cap, FTSE Italia All-Share Industrials, FTSE Italia All-Share Industrial Goods and Services"
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0004729759.html?lang=en,Sesa,SES,IT0004729759,STAR,Technology,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia Mid Cap, FTSE Italia STAR, FTSE Italia All-Share Technology, FTSE Italia All-Share Technology"
https://www.borsaitaliana.it/borsa/azioni/aim-italia/scheda/IT0005337172.html?lang=en,Sg Company,SGC,IT0005337172,AIM ITALIA,,FTSE AIM Italia
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0003153621.html?lang=en,Tamburi Investment Partners,TIP,IT0003153621,STAR,Financial Services,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia Mid Cap, FTSE Italia STAR, FTSE Italia All-Share Financials, FTSE Italia All-Share Financial Services"
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001424644.html?lang=en,Tas,TAS,IT0001424644,MTA,Technology,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia Small Cap, FTSE Italia All-Share Technology, FTSE Italia All-Share Technology"
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005331001.html?lang=en,Techedge,EDGE,IT0005331001,MTA,Technology,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia Small Cap, FTSE Italia All-Share Technology, FTSE Italia All-Share Technology"
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005162406.html?lang=en,Technogym,TGYM,IT0005162406,MTA,Personal & Household Goods,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia Mid Cap, FTSE Italia All-Share Consumer Goods, FTSE Italia All-Share Personal and Household Goods"
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0003497168.html?lang=en,Telecom Italia,TIT,IT0003497168,MTA,Telecommunications,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE MIB, FTSE Italia All-Share Telecommunications, FTSE Italia All-Share Telecommunications"
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0003497176.html?lang=en,Telecom Italia Rsp,TITR,IT0003497176,MTA,Telecommunications,
https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/ES0178430E18.html?lang=en,Telefonica,TEF,ES0178430E18,GLOBAL EQUITY MARKET,,
https://www.borsaitaliana.it/borsa/azioni/aim-italia/scheda/IT0005240046.html?lang=en,Telesia,TLS,IT0005240046,AIM ITALIA,,FTSE AIM Italia
https://www.borsaitaliana.it/borsa/azioni/scheda/LU0156801721.html?lang=en,Tenaris,TEN,LU0156801721,MTA,Basic Resources,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE MIB, FTSE Italia All-Share Basic Materials, FTSE Italia All-Share Basic Resources"
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0003242622.html?lang=en,Terna - Rete Elettrica Nazionale,TRN,IT0003242622,MTA,Utilities,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE MIB, FTSE Italia All-Share Utilities, FTSE Italia All-Share Utilities"
https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/US88160R1014.html?lang=en,Tesla,TSLA,US88160R1014,GLOBAL EQUITY MARKET,,
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0004585243.html?lang=en,Tesmec,TES,IT0004585243,STAR,Industrial Goods & Services,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia STAR, FTSE Italia Small Cap, FTSE Italia All-Share Industrials, FTSE Italia All-Share Industrial Goods and Services"
https://www.borsaitaliana.it/borsa/azioni/aim-italia/scheda/IT0005335754.html?lang=en,Thespac,TSPA,IT0005335754,AIM ITALIA,,FTSE AIM Italia
https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/DE0007500001.html?lang=en,Thyssenkrupp,TKA,DE0007500001,GLOBAL EQUITY MARKET,,
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005037210.html?lang=en,Tinexta,TNXT,IT0005037210,STAR,Financial Services,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia Mid Cap, FTSE Italia STAR, FTSE Italia All-Share Financials, FTSE Italia All-Share Financial Services"
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0004513666.html?lang=en,Tiscali,TIS,IT0004513666,MTA,Technology,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia Small Cap, FTSE Italia All-Share Technology, FTSE Italia All-Share Technology"
